Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-June-2016,766.80,783.00,766.50,779.25,776.530816914755004540,25327,1348,19667196.00,6457,25.49,16.50,12.45
24-June-2016,765.00,767.40,729.30,763.45,747.875838310536722588,98114,3584,73377090.00,20478,20.87,38.10,-1.55
23-June-2016,776.55,782.00,772.85,774.90,776.508094129816395138,19335,964,15013784.00,3948,20.42,9.15,-1.65
22-June-2016,760.00,778.90,760.00,776.40,772.693445126905202950,30771,1413,23776550.00,7695,25.01,18.90,16.40
21-June-2016,770.00,770.30,760.00,762.00,764.863853190414725854,17819,958,13629109.00,4898,27.49,10.30,-8.00
20-June-2016,757.30,774.15,750.00,760.90,763.171196094385679414,55305,1540,42207183.00,30962,55.98,24.15,3.60
17-June-2016,775.00,780.30,746.25,757.40,765.478983261004339739,72585,3064,55562292.00,14555,20.05,34.05,-17.60
16-June-2016,778.00,781.00,766.55,771.40,772.065814636876719996,21439,868,16552319.00,4707,21.96,14.45,-6.60
15-June-2016,772.50,784.90,770.00,781.50,780.071763955712712306,51753,2773,40371054.00,14843,28.68,14.90,9.00
14-June-2016,771.00,775.50,767.15,769.85,770.254162217740340886,25287,1391,19477417.00,4063,16.07,8.35,-1.15
13-June-2016,772.00,775.75,763.05,769.70,769.623950032306698255,32501,1503,25013548.00,4149,12.77,12.70,-2.30
10-June-2016,772.00,780.00,768.55,774.10,773.783830638439739956,59990,2485,46419292.00,31788,52.99,11.45,2.10
9-June-2016,766.25,777.00,765.35,769.60,772.407550372317126587,36528,1228,28214503.00,6682,18.29,11.65,3.35
8-June-2016,760.35,775.75,760.25,763.15,766.990451657221363558,58230,2337,44661854.00,19420,33.35,15.50,2.80
7-June-2016,784.00,785.05,760.25,763.95,766.518411587919396955,101485,5282,77790121.00,31083,30.63,24.80,-20.05
6-June-2016,792.00,803.95,780.00,782.10,787.513647578236592650,38505,2681,30323213.00,15117,39.26,23.95,-9.90
3-June-2016,839.95,841.40,806.90,810.05,821.095497364099904934,34713,1803,28502688.00,14840,42.75,34.50,-29.90
2-June-2016,846.00,846.75,831.05,835.40,837.275195701782258297,34619,2018,28985630.00,15536,44.88,15.70,-10.60
1-June-2016,860.00,866.35,843.00,851.20,857.377753343028411307,28193,1490,24172051.00,5289,18.76,23.35,-8.80
31-May-2016,877.00,879.55,849.70,853.50,856.913085438546693159,35230,2101,30189048.00,7023,19.93,29.85,-23.50
30-May-2016,875.00,886.75,873.50,876.30,880.128814047207829591,13896,690,12230270.00,2170,15.62,13.25,1.30
27-May-2016,868.50,892.40,868.35,874.60,881.619563625713867330,61461,2507,54185220.00,14062,22.88,24.05,6.10
26-May-2016,862.30,868.00,859.00,865.00,864.045505688211026378,23997,1167,20734500.00,3391,14.13,9.00,2.70
25-May-2016,865.00,872.20,855.40,859.75,864.015280916089004634,26111,1766,22560303.00,6022,23.06,16.80,-5.25
24-May-2016,860.50,864.75,851.60,858.70,858.515928252136026707,17673,1388,15172552.00,2189,12.39,13.15,-1.80
23-May-2016,864.00,869.55,851.00,860.15,862.323010247844341113,22151,948,19101317.00,3622,16.35,18.55,-3.85
20-May-2016,867.00,880.00,858.45,861.45,868.546831261410066939,57515,2813,49954471.00,6573,11.43,21.55,-5.55
19-May-2016,855.00,866.00,849.75,852.50,859.001065839833341407,20641,1092,17730641.00,4337,21.01,16.25,-2.50
18-May-2016,856.00,863.60,842.85,849.90,848.429278295368430437,44866,2029,38065628.00,10353,23.08,20.75,-6.10
17-May-2016,874.05,875.05,853.65,860.95,861.459987582916707512,30603,2080,26363260.00,8643,28.24,21.40,-13.10
16-May-2016,874.95,880.50,869.05,873.00,874.545290089158806047,23217,1286,20304318.00,5729,24.68,11.45,-1.95
13-May-2016,869.00,884.50,865.25,868.75,873.884618580688050523,96272,3905,84130620.00,15204,15.79,19.25,-0.25
12-May-2016,859.55,868.50,855.45,858.10,861.690131888836552048,42460,2339,36587363.00,9622,22.66,13.05,-1.45
11-May-2016,850.00,865.00,844.40,857.05,857.445092799176208105,40787,1792,34972613.00,5993,14.69,20.60,7.05
10-May-2016,840.00,862.00,838.25,854.85,855.243279865231084743,54612,3180,46706546.00,12189,22.32,23.75,14.85
9-May-2016,823.15,840.00,816.00,833.95,833.411198789320073505,18502,1296,15419774.00,4409,23.83,24.00,10.80
6-May-2016,817.05,825.85,815.45,819.10,820.515974800314996062,17778,994,14587133.00,3459,19.46,10.40,2.05
5-May-2016,820.60,824.45,810.50,815.65,817.421519507186858316,12175,729,9952107.00,1875,15.40,13.95,-4.95
4-May-2016,820.60,826.15,815.20,820.15,820.372778241679589645,16766,780,13754370.00,4658,27.78,10.95,-0.45
3-May-2016,836.00,841.70,813.40,820.35,826.708466695866042249,29681,1793,24537534.00,4627,15.59,28.30,-15.65
2-May-2016,829.00,835.90,825.25,829.30,830.592818371607515657,23950,867,19892698.00,4950,20.67,10.65,0.30
29-April-2016,820.05,834.60,819.05,830.60,828.429391730233343654,35527,1665,29431611.00,4805,13.52,15.55,10.55
28-April-2016,828.45,832.00,815.00,818.45,822.094334356684342729,25081,1341,20618948.00,3696,14.74,17.00,-10.00
27-April-2016,838.70,838.70,823.00,826.70,828.244248653940283896,22473,855,18613133.00,4021,17.89,15.70,-12.00
26-April-2016,838.00,845.00,826.00,831.70,834.513780036656809058,88933,2994,74215814.00,49425,55.58,19.00,-6.30
25-April-2016,815.00,834.00,813.50,831.50,825.474562508285827919,60344,2898,49812437.00,18153,30.08,20.50,16.50
22-April-2016,785.00,816.00,783.50,813.00,806.843668016317122363,65943,3010,53205692.00,14890,22.58,32.50,28.00
21-April-2016,793.00,802.00,759.30,784.45,778.416633765809429158,146906,6889,114354074.00,35264,24.00,42.70,-8.55
20-April-2016,790.15,809.25,788.05,792.05,798.929832757170886667,42812,2503,34203784.00,10013,23.39,21.20,1.90
18-April-2016,792.00,793.00,781.80,790.15,787.474118049030494575,23414,1400,18437919.00,7044,30.08,11.20,-1.85
13-April-2016,790.00,798.35,774.80,779.75,780.378181983332197924,44037,2921,34365514.00,7578,17.21,23.55,-10.25
12-April-2016,778.00,790.00,776.05,787.00,786.185421754649633665,26615,1328,20924325.00,8055,30.26,13.95,9.00
11-April-2016,769.95,780.95,766.05,778.00,773.039524492497793468,36256,2677,28027321.00,11813,32.58,14.90,8.05
8-April-2016,766.00,772.35,765.05,767.25,769.049646821392532795,24775,1478,19053205.00,2583,10.43,7.30,1.25
7-April-2016,774.00,782.10,762.35,765.10,771.659862561598625615,44238,2696,34136689.00,10412,23.54,19.75,-8.90
6-April-2016,783.25,789.00,770.00,774.10,777.002028039855391940,22682,1997,17623960.00,5344,23.56,19.00,-9.15
5-April-2016,809.00,809.00,783.45,787.25,789.990960471810714034,56972,2629,45007365.00,27433,48.15,25.55,-21.75
4-April-2016,793.00,803.45,788.75,799.65,797.649367219559295148,28999,1832,23131034.00,5005,17.26,14.70,6.65
1-April-2016,793.00,796.80,785.55,791.55,790.692142238610017039,35799,2977,28305988.00,8866,24.77,11.25,-1.45
31-March-2016,780.00,799.00,778.00,794.30,787.930583899363406536,32831,1837,25868549.00,5853,17.83,21.00,14.30
30-March-2016,781.00,782.80,764.45,776.50,772.454247031017478334,68542,4496,52945559.00,8348,12.18,18.35,-4.50
29-March-2016,810.10,810.10,777.25,781.50,788.146905714618701682,51482,2944,40575379.00,11732,22.79,32.85,-28.60
28-March-2016,839.75,839.75,810.10,819.15,822.151971540660948201,30078,2171,24728687.00,7906,26.28,29.65,-20.60
23-March-2016,822.10,834.35,820.00,822.10,827.584642520201813035,24379,1504,20175686.00,6504,26.68,14.35,0.00
22-March-2016,815.00,825.05,808.30,821.25,819.216641311282328115,40754,2025,33386355.00,11272,27.66,16.75,6.25
21-March-2016,810.00,824.00,797.90,813.70,809.432152535811072396,41328,2268,33452212.00,9624,23.29,26.10,3.70
18-March-2016,812.00,815.00,778.35,801.80,791.411611211527201445,78562,3931,62174879.00,10180,12.96,36.65,-10.20
17-March-2016,835.00,836.00,805.75,811.10,817.352479686186606892,24983,1643,20419917.00,4259,17.05,30.25,-23.90
16-March-2016,816.00,832.20,800.00,828.00,816.347430721592913416,25513,1537,20827472.00,4660,18.27,32.20,12.00
15-March-2016,835.00,843.50,808.35,813.60,821.807162852442930939,34651,1793,28476440.00,8945,25.81,35.15,-21.40
14-March-2016,829.00,842.00,819.00,830.85,832.170946634662808667,30413,1795,25308815.00,4842,15.92,23.00,1.85
11-March-2016,821.05,830.45,814.95,821.90,822.995573518090839107,31176,1751,25657710.00,4057,13.01,15.50,0.85
10-March-2016,820.00,833.65,818.05,824.40,826.960966817362526962,67686,2018,55973680.00,40722,60.16,15.60,4.40
9-March-2016,808.25,823.95,796.00,818.35,813.620234839954962200,24868,1497,20233108.00,3683,14.81,27.95,10.10
8-March-2016,812.00,838.90,800.00,808.25,819.993596182822702159,39820,2165,32652145.00,6744,16.94,38.90,-3.75
4-March-2016,792.00,820.00,790.50,808.35,809.126316517648686508,57823,3430,46786111.00,9639,16.67,29.50,16.35
3-March-2016,787.00,795.00,780.55,792.00,789.049633615754522555,52404,1869,41349357.00,10880,20.76,14.45,5.00
2-March-2016,765.00,790.00,765.00,777.25,778.481437398026051836,74774,3615,58210171.00,9792,13.10,25.00,12.25
1-March-2016,736.00,762.00,732.00,759.75,748.074981084023843357,54187,2531,40535939.00,13745,25.37,30.00,23.75
29-February-2016,736.90,741.25,715.80,736.25,733.212106451755745472,45166,1962,33116258.00,11089,24.55,25.45,-0.65
26-February-2016,736.50,746.00,723.00,735.20,734.349008480520308614,31366,1598,23033591.00,2621,8.36,23.00,-1.30
25-February-2016,743.50,743.95,733.00,737.05,736.878082507490205116,21695,1004,15986570.00,10671,49.19,10.95,-6.45
24-February-2016,746.60,748.60,732.55,743.10,740.271882329096331470,34537,1918,25566770.00,9605,27.81,16.05,-3.50
23-February-2016,750.00,758.25,742.95,748.30,748.827325088442534280,34203,1467,25612141.00,8947,26.16,15.30,-1.70
22-February-2016,752.05,753.05,734.60,746.80,743.319428882415084675,31237,1408,23219069.00,5827,18.65,18.45,-5.25
19-February-2016,732.00,750.95,726.10,746.75,742.664020317561892572,50006,2059,37137657.00,4445,8.89,24.85,14.75
18-February-2016,730.00,761.45,714.00,729.10,737.284754688591541727,93045,4281,68600660.00,12603,13.55,47.45,-0.90
17-February-2016,707.00,725.00,693.00,720.65,711.097753237553807871,55057,2768,39150909.00,10714,19.46,32.00,13.65
16-February-2016,725.00,725.25,702.00,704.20,708.961317429727242738,57597,2506,40834045.00,12883,22.37,23.25,-20.80
15-February-2016,692.00,722.80,692.00,710.65,708.057291131435618127,58386,2197,41340633.00,16422,28.13,30.80,18.65
12-February-2016,725.00,726.60,671.50,690.90,687.379890140071408953,182050,6753,125137509.00,90891,49.93,55.10,-34.10
11-February-2016,725.50,726.05,712.50,720.05,721.568962448834312155,67428,2962,48653952.00,24875,36.89,13.55,-5.45
10-February-2016,735.00,738.00,716.00,725.65,723.761068315996626370,88925,2643,64360453.00,46459,52.25,22.00,-9.35
9-February-2016,740.00,744.50,730.05,735.00,736.479013001625203150,63992,2697,47128765.00,31718,49.57,14.45,-5.00
8-February-2016,750.00,758.00,736.95,749.55,748.607879576286935513,53810,2390,40282590.00,8054,14.97,21.05,-0.45
5-February-2016,726.00,743.00,715.50,734.90,731.019590307056769302,46962,2244,34330142.00,8264,17.60,27.50,8.90
4-February-2016,750.00,757.05,713.40,723.95,729.708768783625007729,64684,3515,47200482.00,16046,24.81,43.65,-26.05
3-February-2016,754.00,760.90,741.65,744.60,750.386699009500707499,39576,1707,29697304.00,9598,24.25,19.25,-9.40
2-February-2016,798.20,798.25,748.00,753.45,772.877479427515814222,53591,2917,41419277.00,15864,29.60,50.25,-44.75
1-February-2016,780.00,806.35,774.30,793.90,797.056058058047437414,188501,4690,150245864.00,120254,63.79,32.05,13.90
29-January-2016,749.00,778.00,728.50,770.90,750.134349462859241575,108910,5469,81697132.00,17730,16.28,49.50,21.90
28-January-2016,740.00,758.80,737.55,750.70,747.612511160392845828,69442,2987,51915708.00,17591,25.33,21.25,10.70
27-January-2016,757.55,765.90,734.20,737.55,748.641634442501416221,40601,1734,30395599.00,12615,31.07,31.70,-20.00
25-January-2016,760.00,778.70,750.10,754.05,763.932328666528312127,62641,3763,47853485.00,16960,27.07,28.60,-5.95
22-January-2016,751.10,761.00,742.00,752.20,752.724845160415316686,66359,5827,49950068.00,22526,33.95,19.00,1.10
21-January-2016,792.00,800.25,735.00,739.85,759.996306699958385351,115344,6222,87661014.00,40204,34.86,65.25,-52.15
20-January-2016,786.00,792.00,764.55,786.25,779.205897910605659878,45372,2873,35354130.00,9423,20.77,27.45,0.25
19-January-2016,776.50,796.30,751.05,782.55,777.263221873129862357,53472,3230,41561819.00,6936,12.97,45.25,6.05
18-January-2016,830.00,830.00,761.55,764.70,792.147465858745794193,65683,3176,52030622.00,17853,27.18,68.45,-65.30
15-January-2016,879.00,879.00,825.00,829.70,845.631435929895017133,91634,4835,77488591.00,55733,60.82,54.00,-49.30
14-January-2016,858.00,872.95,855.00,864.50,864.267372658848240854,34278,2042,29625357.00,7509,21.91,17.95,6.50
13-January-2016,863.00,879.00,849.95,870.00,865.936148775572936234,58558,3142,50707489.00,16244,27.74,29.05,7.00
12-January-2016,848.50,858.00,842.55,849.55,851.626217451798847147,20124,1304,17138126.00,6964,34.61,15.45,1.05
11-January-2016,855.00,861.70,837.50,841.50,847.037521499049515705,66282,3476,56143341.00,27263,41.13,24.20,-13.50
8-January-2016,867.00,882.20,855.15,857.80,869.577762563776549790,61347,3072,53345987.00,18364,29.93,27.05,-9.20
7-January-2016,900.00,900.00,861.00,866.55,872.242150333016175071,60958,2704,53170137.00,33461,54.89,39.00,-33.45
6-January-2016,935.00,954.45,901.25,906.65,925.336532476908905320,80334,3739,74335985.00,20515,25.54,53.20,-28.35
5-January-2016,935.00,943.05,930.10,932.80,934.993673810285389344,28137,1515,26307917.00,6650,23.63,12.95,-2.20
4-January-2016,930.00,949.25,920.25,930.35,934.521913962722237677,39541,2420,36951931.00,7740,19.57,29.00,0.35
1-January-2016,924.25,927.85,921.25,923.60,924.387109224237746043,7773,476,7185261.00,2361,30.37,6.60,-0.65
31-December-2015,927.50,931.70,919.00,922.15,923.942928631002025497,16786,858,15509306.00,5062,30.16,12.70,-5.35
30-December-2015,938.00,938.00,925.00,927.30,930.875524387953165111,15971,747,14867013.00,8955,56.07,13.00,-10.70
29-December-2015,927.00,936.95,925.20,932.90,930.246221721580775368,21306,1172,19819826.00,10980,51.53,11.75,5.90
28-December-2015,929.00,933.35,917.00,924.25,923.310146211785556047,29341,1499,27090843.00,6152,20.97,16.35,-4.75
24-December-2015,948.55,957.80,924.00,927.15,936.764223760642953767,25134,1239,23544632.00,6627,26.37,33.80,-21.40
23-December-2015,945.00,950.00,939.70,944.85,944.080306187154633571,22078,1081,20843405.00,4329,19.61,10.30,-0.15
22-December-2015,929.00,950.00,921.40,938.05,941.709155867748576964,66056,2489,62205540.00,14186,21.48,28.60,9.05
21-December-2015,915.00,935.00,908.50,927.40,926.423500332336324360,48144,2664,44601733.00,8522,17.70,26.50,12.40
18-December-2015,892.05,921.65,886.55,912.95,912.367630944554021477,73008,2786,66610136.00,22779,31.20,35.10,20.90
17-December-2015,863.15,896.40,863.15,894.65,887.818681545773920231,48390,1829,42961546.00,22149,45.77,33.25,31.50
16-December-2015,856.00,880.00,856.00,868.55,871.298514223591230295,33114,1432,28852179.00,11328,34.21,24.00,12.55
15-December-2015,853.65,867.00,853.00,861.15,862.009377564177704841,34124,1794,29415208.00,10971,32.15,14.00,7.50
14-December-2015,868.00,877.00,850.20,855.70,862.630585363084085618,70452,2749,60774050.00,23058,32.73,26.80,-12.30
11-December-2015,867.90,883.00,854.10,867.35,872.167906097368835670,63470,2575,55356497.00,10258,16.16,28.90,-0.55
10-December-2015,888.00,891.95,859.00,863.20,867.640485296725006965,78962,3298,68510628.00,27476,34.80,32.95,-24.80
9-December-2015,929.00,929.00,876.00,882.25,886.996827790887196827,205535,9131,182308893.00,,,53.00,-46.75
8-December-2015,952.60,960.70,926.95,929.20,938.525742211362248014,40925,2352,38409166.00,9258,22.62,33.75,-23.40
7-December-2015,957.55,968.60,954.00,956.10,961.178542727029199035,14932,657,14352318.00,3708,24.83,14.60,-1.45
4-December-2015,955.55,970.85,950.00,953.50,961.490612000149908181,26683,1409,25655454.00,6620,24.81,20.85,-2.05
3-December-2015,978.40,978.50,955.00,958.70,965.179239605411204437,38217,2189,36886255.00,14716,38.51,23.50,-19.70
2-December-2015,987.80,988.40,974.00,978.40,979.167021079881656804,21632,1368,21181341.00,8433,38.98,14.40,-9.40
1-December-2015,990.00,995.75,981.10,983.40,988.081748280048563334,39536,2110,39064800.00,12185,30.82,14.65,-6.60
30-November-2015,950.50,984.50,950.50,981.10,976.240723341697155931,90469,3250,88319522.00,58517,64.68,34.00,30.60
27-November-2015,951.00,962.15,946.65,950.40,953.361842105263157894,26600,1569,25359425.00,6187,23.26,15.50,-0.60
26-November-2015,963.60,969.10,945.05,952.10,954.678516487191492207,29902,2312,28546797.00,10045,33.59,24.05,-11.50
24-November-2015,967.95,978.00,962.00,964.90,968.112468048849758591,14084,1106,13634896.00,4872,34.59,16.00,-3.05
23-November-2015,969.50,973.60,962.50,965.45,967.859846193726777844,23146,1254,22402084.00,6539,28.25,11.10,-4.05
20-November-2015,976.00,980.45,958.75,965.30,967.061939218523878437,34550,1625,33411990.00,6738,19.50,21.70,-10.70
19-November-2015,987.00,992.05,971.50,974.05,977.192145919275256814,49452,2272,48324106.00,14253,28.82,20.55,-12.95
18-November-2015,965.00,983.45,964.00,977.50,977.944923709821017407,32573,2039,31854600.00,5821,17.87,19.45,12.50
17-November-2015,966.10,978.75,960.75,969.70,970.744456762749445676,55924,3063,54287913.00,16678,29.82,18.00,3.60
16-November-2015,939.65,969.00,938.70,964.10,959.757475958371756026,45546,2209,43713114.00,11789,25.88,30.30,24.45
13-November-2015,946.00,949.05,923.50,935.90,933.113157390554650828,41756,2360,38963073.00,8264,19.79,25.55,-10.10
11-November-2015,953.05,956.95,944.10,950.35,951.024862053656370901,15767,642,14994809.00,5947,37.72,12.85,-2.70
10-November-2015,964.00,971.70,940.85,947.90,956.509635785007072135,33936,1806,32460111.00,6833,20.13,30.85,-16.10
9-November-2015,947.00,965.70,934.55,959.95,956.769747765218430804,75287,3442,72032324.00,16565,22.00,31.15,12.95
6-November-2015,975.00,980.80,950.50,960.95,965.003864467600579670,43473,2627,41951613.00,7006,16.12,30.30,-14.05
5-November-2015,986.00,986.00,960.00,965.95,971.100493777784614438,65009,1875,63130272.00,15156,23.31,26.00,-20.05
4-November-2015,979.00,994.60,979.00,986.00,987.553189557321225879,44050,1898,43501718.00,13602,30.88,15.60,7.00
3-November-2015,990.00,992.70,978.65,981.50,983.143366349126238092,31702,1555,31167611.00,8444,26.64,14.05,-8.50
2-November-2015,998.90,998.90,970.10,984.35,980.779842508095378274,54352,3004,53307346.00,10135,18.65,28.80,-14.55
30-October-2015,970.00,1001.65,970.00,991.00,987.517604881016988175,182421,9492,180143949.00,37677,20.65,31.65,21.00
29-October-2015,990.10,996.00,928.05,943.75,959.987679475809702504,136439,6288,130979759.00,39383,28.86,67.95,-46.35
28-October-2015,1008.00,1009.50,982.25,987.95,993.244383088142309151,47446,2688,47125473.00,13492,28.44,27.25,-20.05
27-October-2015,1007.00,1016.80,996.00,1006.55,1006.720735914143349942,39135,2317,39398016.00,5699,14.56,20.80,-0.45
26-October-2015,1035.00,1035.05,1003.55,1009.20,1014.011573836983018210,48817,2530,49501003.00,9184,18.81,31.50,-25.80
23-October-2015,1020.10,1045.00,1020.10,1029.85,1036.721262153733259952,54510,2342,56511676.00,12754,23.40,24.90,9.75
21-October-2015,1029.50,1037.60,1015.50,1019.70,1024.577500300156081162,33316,2127,34134824.00,6903,20.72,22.10,-9.80
20-October-2015,1044.80,1048.00,1026.50,1028.85,1033.371679978001924831,80007,2948,82676968.00,36204,45.25,21.50,-15.95
19-October-2015,1015.00,1043.95,1015.00,1038.50,1032.114353175634693700,92328,3941,95293054.00,35944,38.93,28.95,23.50
16-October-2015,1017.05,1025.00,1009.10,1021.35,1017.149456240290005178,28965,1818,29461734.00,3789,13.08,15.90,4.30
15-October-2015,1017.00,1028.30,1012.30,1014.40,1018.445671121441022661,32699,1985,33302155.00,5064,15.49,16.00,-2.60
14-October-2015,1025.00,1025.00,1007.00,1017.45,1014.268045443133316595,31864,2061,32318637.00,6342,19.90,18.00,-7.55
13-October-2015,1040.00,1044.00,1010.50,1024.95,1024.741637471269497690,44813,2420,45921747.00,8224,18.35,33.50,-15.05
12-October-2015,1016.60,1042.00,1015.50,1036.80,1030.378244631972955428,118619,3944,122222437.00,56930,47.99,26.50,20.20
9-October-2015,1000.00,1019.90,1000.00,1015.40,1011.732848212730545180,51671,2619,52277248.00,11274,21.82,19.90,15.40
8-October-2015,1032.00,1032.00,988.00,993.20,1002.622763157894736842,91200,4084,91439196.00,19671,21.57,44.00,-38.80
7-October-2015,1070.00,1070.00,1025.95,1032.85,1043.287091047425817905,86746,3431,90500982.00,12341,14.23,44.05,-37.15
6-October-2015,1055.00,1074.90,1047.00,1057.50,1063.836448846286609489,75322,3258,80130289.00,18916,25.11,27.90,2.50
5-October-2015,1050.00,1059.90,1045.55,1051.40,1053.513219772181001149,38276,1920,40324272.00,9421,24.61,14.35,1.40
1-October-2015,1064.00,1072.85,1036.00,1039.75,1055.185105643165408766,97782,4283,103178110.00,25712,26.30,36.85,-24.25
30-September-2015,1021.00,1054.25,1006.80,1048.95,1028.021478274502237069,82921,4329,85244569.00,19328,23.31,47.45,27.95
29-September-2015,995.10,1019.90,972.45,1007.20,994.443347547974413646,93800,3402,93278786.00,20069,21.40,47.45,12.10
28-September-2015,1009.40,1015.50,995.45,998.90,1005.460948457223001402,45632,2133,45881194.00,11954,26.20,20.05,-10.50
24-September-2015,1020.00,1021.00,1002.30,1006.60,1011.502499747500252499,39604,2074,40059545.00,6537,16.51,18.70,-13.40
23-September-2015,1010.00,1017.00,988.85,1009.85,1008.558102250460186449,33682,1495,33970254.00,6598,19.59,28.15,-0.15
22-September-2015,1035.00,1045.00,1005.10,1014.25,1029.636188317041573430,67928,3366,69941127.00,11513,16.95,39.90,-20.75
21-September-2015,1005.00,1027.45,1005.00,1022.45,1018.894491292126691587,34509,1255,35161030.00,4745,13.75,22.45,17.45
18-September-2015,1018.00,1037.95,1001.20,1016.90,1017.075610005104645227,48975,2283,49811278.00,6255,12.77,36.75,-1.10
16-September-2015,1029.00,1030.00,1011.60,1017.45,1021.542350605408126170,35761,1317,36531376.00,7442,20.81,18.40,-11.55
15-September-2015,1029.00,1041.00,1007.90,1016.30,1023.408355987981113177,55912,2464,57220808.00,10019,17.92,33.10,-12.70
14-September-2015,1014.00,1034.00,1000.00,1030.75,1022.463569146836079106,55722,2392,56973715.00,11751,21.09,34.00,16.75
11-September-2015,1011.00,1019.15,993.10,1000.25,1005.214237714645200955,69941,2836,70305689.00,9546,13.65,26.05,-10.75
10-September-2015,1000.00,1015.00,976.80,1000.35,994.576766995385093101,93393,3118,92886508.00,31266,33.48,38.20,0.35
9-September-2015,1034.00,1046.70,1006.10,1016.50,1029.989945469485321580,66935,3082,68942377.00,11029,16.48,40.60,-17.50
8-September-2015,1000.30,1014.00,970.60,1006.10,993.509412049358819259,123990,5766,123185232.00,15944,12.86,43.40,5.80
7-September-2015,1034.80,1049.05,997.00,1000.65,1017.198973216145290956,96028,3779,97679583.00,17751,18.49,52.05,-34.15
4-September-2015,1086.00,1088.60,1001.00,1028.05,1031.832521323339364176,154760,6416,159686401.00,17265,11.16,87.60,-57.95
3-September-2015,1091.15,1093.90,1041.55,1066.75,1063.331843822585997124,90410,4169,96135832.00,16289,18.02,52.35,-24.40
2-September-2015,1135.00,1135.35,1072.35,1079.25,1099.784376104630611523,101844,4509,112006440.00,13510,13.27,63.00,-55.75
1-September-2015,1120.00,1156.65,1105.00,1124.65,1128.910450352147604404,80648,3893,91044370.00,18513,22.96,51.65,4.65
31-August-2015,1167.00,1203.00,1126.00,1150.65,1162.918772750910036401,173070,7540,201266352.00,43285,25.01,77.00,-16.35
28-August-2015,1200.00,1208.50,1158.50,1175.70,1179.312348956535196847,83999,3953,99061058.00,22731,27.06,50.00,-24.30
27-August-2015,1210.00,1219.00,1178.65,1193.90,1193.123264416043282634,72454,3446,86446553.00,11121,15.35,40.35,-16.10
26-August-2015,1188.05,1205.10,1156.55,1197.80,1190.820154913667903824,61970,3043,73795125.00,13495,21.78,48.55,9.75
25-August-2015,1180.00,1229.25,1076.60,1188.05,1145.061752843181678330,178761,9179,204692384.00,24111,13.49,152.65,8.05
24-August-2015,1160.00,1208.60,1108.50,1124.60,1159.340689655172413793,213150,10515,247113468.00,52502,24.63,100.10,-35.40
21-August-2015,1200.00,1261.95,1177.00,1225.35,1207.509611908113063801,619544,6971,748105335.00,472359,76.24,84.95,25.35
20-August-2015,1203.00,1242.00,1201.20,1221.35,1225.560153861054612372,144546,6635,177149818.00,37179,25.72,40.80,18.35
19-August-2015,1170.35,1228.25,1167.60,1200.45,1202.161470454860603607,266829,8957,320771543.00,120878,45.30,60.65,30.10
18-August-2015,1129.00,1167.50,1120.00,1160.10,1154.117861616682632083,81426,3498,93975201.00,18381,22.57,47.50,31.10
17-August-2015,1135.00,1139.15,1118.00,1129.40,1129.817781607394642017,63830,2711,72116269.00,18783,29.43,21.15,-5.60
14-August-2015,1090.00,1164.20,1090.00,1133.95,1131.508563945273460385,174102,9737,196997904.00,38020,21.84,74.20,43.95
13-August-2015,1037.55,1064.50,1028.00,1058.40,1051.542508275349591299,59212,2761,62263935.00,5249,8.86,36.50,20.85
12-August-2015,1053.00,1066.45,1028.80,1035.50,1046.744593501518550737,65523,2958,68585846.00,8402,12.82,37.65,-17.50
11-August-2015,1065.00,1068.00,1047.00,1058.40,1055.669013247394767080,75713,3311,79927868.00,18904,24.97,21.00,-6.60
10-August-2015,1020.00,1064.70,1016.80,1054.15,1046.535759790144275810,106740,3792,111707227.00,37093,34.75,47.90,34.15
7-August-2015,1042.55,1049.00,998.05,1008.35,1018.362454933033572319,72947,3747,74286486.00,13324,18.27,50.95,-34.20
6-August-2015,1030.00,1049.00,1023.00,1042.85,1039.102033017425863650,52336,1914,54382444.00,11374,21.73,26.00,12.85
5-August-2015,999.00,1037.00,996.15,1031.50,1020.107304966854978284,61246,2659,62477492.00,10408,16.99,40.85,32.50
4-August-2015,998.00,1000.00,976.50,992.70,984.390147316892952803,86616,2552,85263937.00,35274,40.72,23.50,-5.30
3-August-2015,1012.00,1019.45,983.00,989.95,995.820769478577016889,86916,4048,86552758.00,18484,21.27,36.45,-22.05
31-July-2015,974.90,1022.00,967.80,1009.80,1002.813317934907583895,195691,5156,196241541.00,71881,36.73,54.20,34.90
30-July-2015,960.00,978.40,939.00,956.30,958.015748685631549589,84261,3692,80723365.00,20948,24.86,39.40,-3.70
29-July-2015,989.95,990.00,929.05,951.25,950.785419787529376193,145526,5976,138363999.00,30582,21.01,60.95,-38.70
28-July-2015,1030.00,1031.00,984.00,993.00,1006.459734343639356831,44343,2109,44629444.00,13148,29.65,47.00,-37.00
27-July-2015,1045.05,1047.95,1030.00,1036.65,1039.094437595726399940,26769,1221,27815519.00,8435,31.51,17.95,-8.40
24-July-2015,1052.00,1065.00,1032.55,1050.95,1051.061636655155402072,32432,1472,34088031.00,5122,15.79,32.45,-1.05
